IBINS#,IBADD@IN,IBADDIN,IBWPHR,IBZIP6,IBSTE,IBCITY,IBADD1,IBLABL,IBPAYID,IBCNTC                    IBDEL@ IBDTSTS,,IBMSID       IBDTMSID,,IBDTMT,,IBTMNT,,IBUSER,IBDTES,,IBTESE,,IBUSRC,IBZPGM,INNAMB
6,98872,00098872,0,60168,IL,Schaumburg,PO Box 4046,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:07.0,CC_JWAHDEN,11/10/1999,00:00.0,1/1/1900,35:20.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,103552,00103552,0,76015,TX,Arlington,PO Box 9590,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:36.0,CC_JWAHDEN,12/10/1999,00:00.0,1/1/1900,04:42.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,104637,00104637,8008962386,15242,PA,Pittsburgh,PO Box 16364,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:18.0,CC_JWAHDEN,12/20/1999,00:00.0,1/1/1900,15:54.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,104911,00104911,8006480478,6095,CT,Windsor,PO Box 706,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,07:53.0,CC_JWAHDEN,12/22/1999,00:00.0,1/1/1900,03:22.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,106697,00106697,0,33631,FL,Tampa,PO Box 31400,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,08:53.0,CC_JWAHDEN,1/3/2000,00:00.0,1/1/1900,19:38.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,108958,00108958,8004517715,92112,CA,San Diego,PO Box 129001,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,06:06.0,CC_JWAHDEN,1/17/2000,00:00.0,1/1/1900,54:20.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,117095,00117095,8882522732,98111,WA,Seattle,PO Box 91028,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:23.0,CC_JWAHDEN,3/15/2000,00:00.0,1/1/1900,02:03.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,117170,00117170,8008585631,18106,PA,Allentown,PO Box 3918,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,14:26.0,CC_JWAHDEN,3/15/2000,00:00.0,1/1/1900,11:31.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,121299,00121299,8008433661,32232,FL,Jacksonville,PO Box 2749,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,50:10.0,CC_JWAHDEN,4/11/2000,00:00.0,1/1/1900,32:45.0,BREMTSC,ADRMASTRG,AETNA US HEALTHCARE
6,123241,00123241,8886331908,76015,TX,Arlington,PO Box 91522,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:44.0,CC_JWAHDEN,4/24/2000,00:00.0,1/1/1900,48:21.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,123778,00123778,8009320783,17055,PA,Mechanicsburg,1 Mechanicsburg,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:06.0,CC_JWAHDEN,4/27/2000,00:00.0,1/1/1900,37:24.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,125115,00125115,8775661135,53226,WI,Milwaukee,PO Box 26599,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:32.0,CC_JWAHDEN,5/5/2000,00:00.0,1/1/1900,21:07.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,125216,00125216,8008962386,15242,PA,Pittsburgh,PO Box 16364,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:22.0,CC_JWAHDEN,5/8/2000,00:00.0,1/1/1900,12:29.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,125806,00125806,8008962386,84627,UT,Ephraim,PO Box 725,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:09.0,CC_JWAHDEN,5/10/2000,00:00.0,1/1/1900,30:34.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,126005,00126005,8004517715,93765,CA,Fresno,PO Box 12340,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,32:29.0,CC_JWAHDEN,5/12/2000,00:00.0,1/1/1900,25:11.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,126142,00126142,8006383864,53226,WI,Milwaukee,PO Box 26981,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:36.0,CC_JWAHDEN,5/12/2000,00:00.0,1/1/1900,44:01.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,126163,00126163,8004583843,84627,UT,Ephraim,PO Box 725,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:13.0,CC_JWAHDEN,5/12/2000,00:00.0,1/1/1900,53:48.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,128235,00128235,8005413149,6615,CT,Stratford,PO Box 150417,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,07:41.0,CC_JWAHDEN,5/30/2000,00:00.0,1/1/1900,42:43.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,128720,00128720,8775661135,40512,KY,Lexington,PO Box 14066,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,42:02.0,CC_JWAHDEN,6/1/2000,00:00.0,1/1/1900,45:38.0,JENLCLO,ADRMASTRG,AETNA US HEALTHCARE
6,135851,00135851,8772386200,40512,KY,Lexington,PO Box 14027,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:43.0,CC_JWAHDEN,7/20/2000,00:00.0,1/1/1900,15:53.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,136607,00136607,8007060379,27402,NC,Greensboro,PO Box 26107,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,11:24.0,CC_JWAHDEN,7/26/2000,00:00.0,1/1/1900,53:57.0,ELLGGAI,ADRMASTRG,AETNA US HEALTHCARE
6,138016,00138016,8004825141,48909,MI,Lansing,PO Box 30132,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,11:01.0,BECKSCH,8/4/2000,00:00.0,1/1/1900,50:58.0,BREMTSC,ADRMASTRG,AETNA US HEALTHCARE
6,139725,00139725,8773686605,49546,MI,Grand Rapids,3855 Sparks Dr.,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,10:56.0,BECKSCH,8/16/2000,00:00.0,1/1/1900,26:07.0,JENMBUR,ADRMASTRG,AETNA US HEALTHCARE
6,139819,00139819,8004451808,18109,PA,Allentown,PO Box 3921,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,14:45.0,CC_JWAHDEN,8/16/2000,00:00.0,1/1/1900,17:19.0,ELLGGAI,ADRMASTRG,AETNA US HEALTHCARE
6,142817,00142817,8007414781,32232,FL,Jacksonville,PO Box 45116,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,24:58.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,08:33.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,142819,00142819,8008278908,12212,NY,Albany,PO Box 15078,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,25:04.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,12:47.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,142822,00142822,0,40232,KY,Louisville,PO Box 34650,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:49.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,17:25.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,142826,00142826,8004517715,91409,CA,Van Nuys,PO Box 9065,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,40:50.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,30:37.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,142828,00142828,0,91410,CA,Van Nuys,PO Box 10383,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,06:27.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,47:44.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,142829,00142829,0,12212,NY,Albany,PO Box 15086,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,12:35.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,56:21.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,142830,00142830,8007438877,32231,FL,Jacksonville,PO Box 44035,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,25:22.0,CC_JWAHDEN,9/8/2000,00:00.0,1/1/1900,57:21.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,143503,00143503,8008823461,27402,NC,Greensboro,PO Box 26910,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,51:36.0,CC_JWAHDEN,9/14/2000,00:00.0,1/1/1900,51:05.0,ELLGGAI,ADRMASTRG,AETNA US HEALTHCARE
6,144553,00144553,8004517715,92112,CA,San Diego,PO Box 129058,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,45:19.0,CC_JWAHDEN,9/21/2000,00:00.0,1/1/1900,44:47.0,ELLGGAI,ADRMASTRG,AETNA US HEALTHCARE
6,144752,00144752,8002350123,58502,ND,Bismarck,PO Box 1858,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,26:50.0,CC_JWAHDEN,9/22/2000,00:00.0,1/1/1900,26:15.0,ELLGGAI,ADRMASTRG,AETNA US HEALTHCARE
6,152033,00152033,8772386200,49501,MI,Grand Rapids,PO Box 420,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,40:29.0,CC_JWAHDEN,11/10/2000,00:00.0,1/1/1900,36:12.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,152712,00152712,8004517715,6156,CT,Hartford,151 Farmington Ave Dept.WP14,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:29.0,CC_JWAHDEN,11/15/2000,00:00.0,1/1/1900,08:38.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,153043,00153043,8004421566,19422,PA,Blue Bell,PO Box 2296,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:12.0,CC_JWAHDEN,11/16/2000,00:00.0,1/1/1900,08:43.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,158413,00158413,8004517715,40512,KY,Lexington,PO Box 14094 (60054),N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,27:24.0,CC_JWAHDEN,1/4/2001,00:00.0,1/1/1900,22:26.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,164447,00164447,8002237033,18106,PA,Allentown,PO Box 3946,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,40:15.0,CC_JWAHDEN,2/12/2001,00:00.0,1/1/1900,29:17.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,174924,00174924,8004517715,12212,NY,Albany,PO Box 15046,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,40:49.0,CC_JWAHDEN,4/23/2001,00:00.0,1/1/1900,45:26.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,179338,00179338,8004517715,40512,KY,Lexington,PO Box 14066,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:13.0,CC_JWAHDEN,5/23/2001,00:00.0,1/1/1900,06:52.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,181139,00181139,8774610933,40512,KY,Lexington,PO Box 14110,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,24:15.0,CC_JWAHDEN,6/5/2001,00:00.0,1/1/1900,48:55.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,188462,00188462,0,19422,PA,Blue Bell,PO Box 2290,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,41:02.0,CC_JWAHDEN,7/25/2001,00:00.0,1/1/1900,46:14.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,201306,00201306,0,43218,OH,Columbus,PO Box 182082,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,09:41.0,CC_JWAHDEN,10/25/2001,00:00.0,1/1/1900,08:24.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,208821,00208821,8773686605,40512,KY,Lexington,PO Box 14091(DONT USE),N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,24:23.0,BECKSCH,12/20/2001,00:00.0,1/1/1900,22:07.0,JENMBUR,ADRMASTRG,AETNA US HEALTHCARE
6,212982,00212982,8004517715,92112,CA,San Diego,PO Box 129055,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:10.0,CC_JWAHDEN,1/22/2002,00:00.0,1/1/1900,20:30.0,DANMWAT,ADRMASTRG,AETNA US HEALTHCARE
6,213048,00213048,8772773368,40512,KY,Lexington,PO Box 14094,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,03:57.0,CC_JWAHDEN,1/23/2002,00:00.0,1/1/1900,26:21.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,217876,00217876,8004517715,40512,KY,Lexington,PO Box 14094,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,37:37.0,CC_JWAHDEN,2/24/2002,00:00.0,1/1/1900,40:55.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,218426,00218426,8882471019,19422,PA,Blue Bell,PO Box 1125,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,17:25.0,CC_JWAHDEN,2/27/2002,00:00.0,1/1/1900,40:50.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,222019,00222019,8004517715,40512,KY,Lexington,PO Box 14094,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,38:00.0,CC_JWAHDEN,3/20/2002,00:00.0,1/1/1900,26:11.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,222424,00222424,8005435458,40512,KY,Lexington,PO Box 14094,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,3/3/2010,00:00.0,1/1/1900,00:27.0,RBOOKMAN,3/24/2002,00:00.0,1/1/1900,00:03.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,223102,00223102,8008433661,40512,KY,Lexington,PO Box 14093,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,17:54.0,CC_JWAHDEN,3/28/2002,00:00.0,1/1/1900,17:37.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,223261,00223261,8002205470,40512,KY,Lexington,PO Box 14066,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,19:36.0,CC_JWAHDEN,3/28/2002,00:00.0,1/1/1900,19:17.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,223615,00223615,8004517715,40512,KY,Lexington,PO Box 14094,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,48:38.0,CC_JWAHDEN,4/1/2002,00:00.0,1/1/1900,48:21.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,224331,00224331,8772630659,6115,CT,Hartford,PO Box 150417,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,55:21.0,CC_JWAHDEN,4/4/2002,00:00.0,1/1/1900,54:57.0,TERLBAL,ADRMASTRG,AETNA US HEALTHCARE
6,225792,00225792,8004517715,93765,CA,Fresno,PO Box 12340,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,49:47.0,CC_JWAHDEN,4/15/2002,00:00.0,1/1/1900,31:51.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
6,227221,00227221,8004517715,79998,TX,El Paso,PO Box 981107,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,10/8/2009,00:00.0,1/1/1900,14:59.0,CCLUETT,4/24/2002,00:00.0,1/1/1900,28:59.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
6,230607,00230607,8008433661,40512,KY,Lexington,PO Box 14066,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,35:32.0,CC_JWAHDEN,5/16/2002,00:00.0,1/1/1900,35:02.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
6,230686,00230686,8006316935,76015,TX,Arlington,PO Box 91555,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:24.0,CC_JWAHDEN,5/17/2002,00:00.0,1/1/1900,56:37.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
6,231092,00231092,8003383702,19903,DE,Dover,PO Box 7012,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,49:36.0,CC_JWAHDEN,5/21/2002,00:00.0,1/1/1900,21:01.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
6,231502,00231502,8004249747,40512,KY,Lexington,PO Box 14091,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,33:54.0,CC_JWAHDEN,5/23/2002,00:00.0,1/1/1900,04:40.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
6,232589,00232589,8004517715,40512,KY,Lexington,PO Box 14094,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,35:20.0,CC_JWAHDEN,6/3/2002,00:00.0,1/1/1900,25:47.0,CHRILOR,ADRMASTRG,AETNA US HEALTHCARE
